,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,source,category
77,HIGHLANDER,Men Mid-Rise Jeans,Rs. 2299,Rs. 413,3.4,137,MyntraJeansMens,Jeans
78,Levis,Men 511 Slim Fit Jeans,Rs. 3499,Rs. 1294,4,147,MyntraJeansMens,Jeans
79,Stylecast X Kotty,Regular Fit Stretchable Jeans,Rs. 1999,Rs. 479,3.6,179,MyntraJeansMens,Jeans
80,Mast & Harbour,Men Regular Fit Mid-Rise Jeans,Rs. 2999,Rs. 1169,0,0,MyntraJeansMens,Jeans
81,Roadster,Men Relaxed Fit Jeans,Rs. 1699,Rs. 509,3.9,19,MyntraJeansMens,Jeans
82,Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,Rs. 1999,Rs. 499,3.2,92,MyntraJeansMens,Jeans
83,WROGN,Men Pure Cotton Loose Jeans,Rs. 2499,Rs. 1099,4.1,71,MyntraJeansMens,Jeans
84,Snitch,Men Skinny Fit Jeans,0,0,4.3,2.5k,MyntraJeansMens,Jeans
85,WROGN,Men Pure Cotton Anti Fit Jeans,Rs. 2399,Rs. 1223,0,0,MyntraJeansMens,Jeans
86,The Indian Garage Co,Men Slim Fit Jeans,Rs. 1999,Rs. 519,4.1,872,MyntraJeansMens,Jeans
87,H&M,Straight Regular Jeans,0,0,4.2,74,MyntraJeansMens,Jeans
88,Urbano Fashion,Men Relaxed Fit Cotton Jeans,Rs. 2399,Rs. 839,3.9,355,MyntraJeansMens,Jeans
89,HIGHLANDER,Men Cotton Relaxed Fit Jeans,Rs. 2299,Rs. 436,3.6,121,MyntraJeansMens,Jeans
90,Andamen,Men Dye/Wash Effect Jeans,0,0,0,0,MyntraJeansMens,Jeans
91,The Indian Garage Co,Men Pure Cotton Jeans,Rs. 2399,Rs. 551,3.8,107,MyntraJeansMens,Jeans
92,glitchez,Men Loose Baggy Jeans,Rs. 1399,Rs. 671,3.4,247,MyntraJeansMens,Jeans
93,H&M,Straight Regular Jeans,0,0,4.6,32,MyntraJeansMens,Jeans
94,Levis,Men 511 Slim Fit Jeans,Rs. 3299,Rs. 1220,4.3,217,MyntraJeansMens,Jeans
95,Snitch,Men Bootcut Jeans,Rs. 1799,Rs. 899,0,0,MyntraJeansMens,Jeans
96,Roadster,Men Loose Bootcut Fit Jeans,Rs. 2599,Rs. 649,3.8,52,MyntraJeansMens,Jeans
97,Roadster,Mid Rise Regular Fit Jeans,Rs. 2499,Rs. 974,3.9,46,MyntraJeansMens,Jeans
98,Powerlook,Men Mid-Rise Relaxed Fit Jeans,Rs. 3299,Rs. 857,4.6,57,MyntraJeansMens,Jeans
99,Roadster,Men Relaxed Fit Jeans,Rs. 2899,Rs. 1043,3.3,193,MyntraJeansMens,Jeans
100,NEEMANS,Men Textured Dapper Loafers,Rs. 3299,Rs. 1756,4.1,638,MyntraCasualShoesMens,Casual Shoes
101,MONKSTORY,Men PU Slip-On Sneakers,Rs. 5190,Rs. 2646,3.8,68,MyntraCasualShoesMens,Casual Shoes
102,HRX by Hrithik Roshan,Unisex Back To School Shoes,Rs. 3699,Rs. 850,4.3,1.4k,MyntraCasualShoesMens,Casual Shoes
